GeneID	TranscriptID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias/Synonyms	EC_number	BUSCO	PFAM	InterPro	EggNog	COG	GO Terms	Secreted	Membrane	Protease	CAZyme	antiSMASH	Notes
H9P43_000036	H9P43_000036-T1	tRNA	c_be_22_1	36922	36993	-		tRNA-Trp														
H9P43_000037	H9P43_000037-T1	tRNA	c_be_22_1	37440	37512	-		tRNA-Val														
H9P43_000038	H9P43_000038-T1	tRNA	c_be_22_1	39018	39099	+		tRNA-Ser														
H9P43_000039	H9P43_000039-T1	tRNA	c_be_22_1	39638	39709	-		tRNA-Gln														
H9P43_000040	H9P43_000040-T1	tRNA	c_be_22_1	41649	41720	+		tRNA-iMet														
H9P43_000041	H9P43_000041-T1	tRNA	c_be_22_1	42081	42152	-		tRNA-His														
H9P43_000042	H9P43_000042-T1	tRNA	c_be_22_1	42962	43033	-		tRNA-Pro														
H9P43_000043	H9P43_000043-T1	tRNA	c_be_22_1	44286	44357	-		tRNA-Trp														
H9P43_000044	H9P43_000044-T1	tRNA	c_be_22_1	44804	44876	-		tRNA-Val														
H9P43_000045	H9P43_000045-T1	tRNA	c_be_22_1	46382	46463	+		tRNA-Ser														
H9P43_000046	H9P43_000046-T1	tRNA	c_be_22_1	47002	47073	-		tRNA-Gln														
H9P43_000047	H9P43_000047-T1	tRNA	c_be_22_1	49013	49084	+		tRNA-iMet														
H9P43_000048	H9P43_000048-T1	tRNA	c_be_22_1	49446	49517	-		tRNA-His														
H9P43_000049	H9P43_000049-T1	tRNA	c_be_22_1	50318	50389	-		tRNA-Pro														
H9P43_000050	H9P43_000050-T1	tRNA	c_be_22_1	51642	51713	-		tRNA-Trp														
H9P43_000051	H9P43_000051-T1	tRNA	c_be_22_1	52160	52232	-		tRNA-Val														
H9P43_000052	H9P43_000052-T1	tRNA	c_be_22_1	53734	53815	+		tRNA-Ser														
H9P43_000053	H9P43_000053-T1	tRNA	c_be_22_1	54346	54417	-		tRNA-Gln														
H9P43_000054	H9P43_000054-T1	tRNA	c_be_22_1	56375	56446	+		tRNA-iMet														
H9P43_000055	H9P43_000055-T1	tRNA	c_be_22_1	56808	56879	-		tRNA-His														
H9P43_000056	H9P43_000056-T1	tRNA	c_be_22_1	57688	57759	-		tRNA-Pro														
H9P43_000057	H9P43_000057-T1	tRNA	c_be_22_1	59012	59083	-		tRNA-Trp														
H9P43_000058	H9P43_000058-T1	tRNA	c_be_22_1	59530	59602	-		tRNA-Val														
H9P43_000059	H9P43_000059-T1	tRNA	c_be_22_1	61107	61188	+		tRNA-Ser														
H9P43_000060	H9P43_000060-T1	tRNA	c_be_22_1	61719	61790	-		tRNA-Gln														
H9P43_000061	H9P43_000061-T1	tRNA	c_be_22_1	63742	63813	+		tRNA-iMet														
H9P43_000062	H9P43_000062-T1	mRNA	c_be_22_1	66518	66799	-		hypothetical protein														
H9P43_000063	H9P43_000063-T1	mRNA	c_be_22_1	66833	67615	-		hypothetical protein														
H9P43_000064	H9P43_000064-T1	mRNA	c_be_22_1	70371	72780	-		hypothetical protein		3.6.4.12			IPR010285 DNA helicase Pif1-like;IPR027417 P-loop containing nucleoside triphosphate hydrolase	ENOG503BK87	L:(L) Replication, recombination and repair	GO_function: GO:0003678 - DNA helicase activity [Evidence IEA];GO_process: GO:0000723 - telomere maintenance [Evidence IEA];GO_process: GO:0006281 - DNA repair [Evidence IEA]						
H9P43_000065	H9P43_000065-T1	mRNA	c_be_22_1	73369	75108	+		hypothetical protein														
H9P43_000066	H9P43_000066-T1	mRNA	c_be_22_1	81348	82872	+		hypothetical protein														
H9P43_000067	H9P43_000067-T1	mRNA	c_be_22_1	87748	88905	-		hypothetical protein														
H9P43_000068	H9P43_000068-T1	mRNA	c_be_22_1	89299	90072	+		hypothetical protein														
H9P43_000069	H9P43_000069-T1	mRNA	c_be_22_1	93869	97213	+		hypothetical protein		2.4.1.17		PF00075;PF00078	IPR000477 Reverse transcriptase domain;IPR002156 Ribonuclease H domain;IPR012337 Ribonuclease H-like superfamily;IPR036397 Ribonuclease H superfamily	ENOG503BF48	G:(G) Carbohydrate transport and metabolism	GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_function: GO:0004523 - RNA-DNA hybrid ribonuclease activity [Evidence IEA]						
H9P43_000070	H9P43_000070-T1	mRNA	c_be_22_1	100413	101158	+		hypothetical protein				PF03208	IPR004895 Prenylated rab acceptor PRA1	ENOG503P3QJ	U:(U) Intracellular trafficking, secretion, and vesicular transport							
H9P43_000071	H9P43_000071-T1	mRNA	c_be_22_1	103432	104768	-	CPR6	peptidyl-prolyl cis-trans isomerase cpr6		5.2.1.8		PF00160	IPR002130 Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain;IPR011990 Tetratricopeptide-like helical domain superfamily;IPR019734 Tetratricopeptide repeat;IPR020892 Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site;IPR029000 Cyclophilin-like domain superfamily	ENOG503NXZR	O:(O) Posttranslational modification, protein turnover, chaperones	GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0003755 - peptidyl-prolyl cis-trans isomerase activity [Evidence IEA];GO_process: GO:0000413 - protein peptidyl-prolyl isomerization [Evidence IEA];GO_process: GO:0006457 - protein folding [Evidence IEA]						
H9P43_000072	H9P43_000072-T1	mRNA	c_be_22_1	104981	106160	-		hypothetical protein				PF01545	IPR002524 Cation efflux protein;IPR027469 Cation efflux transmembrane domain superfamily	ENOG50KOG1484	P:(P) Inorganic ion transport and metabolism	GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_function: GO:0008324 - cation transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA];GO_process: GO:0006812 - cation transport [Evidence IEA]	SignalP(1-18,cutsite=AIG-NV,prob=0.2378)					
H9P43_000073	H9P43_000073-T1	mRNA	c_be_22_1	106925	107743	+		hypothetical protein						ENOG502SDK7								
H9P43_000074	H9P43_000074-T1	mRNA	c_be_22_1	109079	111013	+		hypothetical protein		2.7.11.1		PF00069;PF07714	IPR000719 Protein kinase domain;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site	ENOG503NUP0	T:(T) Signal transduction mechanisms	GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0004672 - protein kinase activity [Evidence IEA];GO_process: GO:0006468 - protein phosphorylation [Evidence IEA]						
H9P43_000075	H9P43_000075-T1	mRNA	c_be_22_1	111232	112437	-	HOM6	Homoserine dehydrogenase		1.1.1.3		PF00742;PF03447	IPR001342 Homoserine dehydrogenase, catalytic;IPR005106 Aspartate/homoserine dehydrogenase, NAD-binding;IPR011147 Bifunctional aspartokinase/homoserine dehydrogenase I;IPR019811 Homoserine dehydrogenase, conserved site;IPR022697 Homoserine dehydrogenase lacking ACT domain;IPR036291 NAD(P)-binding domain superfamily	ENOG503NW9B	E:(E) Amino acid transport and metabolism	GO_function: GO:0004412 - homoserine dehydrogenase activity [Evidence IEA];GO_function: GO:0004072 - aspartate kinase activity [Evidence IEA];GO_function: GO:0050661 - NADP binding [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA];GO_process: GO:0006520 - cellular amino acid metabolic process [Evidence IEA];GO_process: GO:0009067 - aspartate family amino acid biosynthetic process [Evidence IEA]						
H9P43_000076	H9P43_000076-T1	mRNA	c_be_22_1	113378	114486	+		hypothetical protein		3.1.30.1		PF02265	IPR003154 S1/P1 nuclease;IPR008947 Phospholipase C/P1 nuclease domain superfamily	ENOG502QRXU	S:(S) Function unknown	GO_function: GO:0004519 - endonuclease activity [Evidence IEA];GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_function: GO:0016788 - hydrolase activity, acting on ester bonds [Evidence IEA];GO_process: GO:0006308 - DNA catabolic process [Evidence IEA]						
H9P43_000077	H9P43_000077-T1	mRNA	c_be_22_1	115005	116197	+		hypothetical protein					IPR006931 Calcipressin	ENOG503NYK2	T:(T) Signal transduction mechanisms	GO_process: GO:0019722 - calcium-mediated signaling [Evidence IEA]						
H9P43_000078	H9P43_000078-T1	mRNA	c_be_22_1	118066	121185	+		hypothetical protein					IPR022709 Protein SCAI;IPR036005 Creatinase/aminopeptidase-like	ENOG503NWFA	S:(S) Function unknown	GO_function: GO:0003714 - transcription corepressor activity [Evidence IEA];GO_process: GO:0006351 - transcription, DNA-templated [Evidence IEA]			M24A			
H9P43_000079	H9P43_000079-T1	mRNA	c_be_22_1	121532	122826	-	fma1	Methionine aminopeptidase 1		3.4.11.18		PF00557;PF15801	IPR000994 Peptidase M24;IPR001714 Peptidase M24, methionine aminopeptidase;IPR002467 Peptidase M24A, methionine aminopeptidase, subfamily 1;IPR031615 MYND-like zinc finger;IPR036005 Creatinase/aminopeptidase-like	ENOG503NUS5	E:(E) Amino acid transport and metabolism	GO_function: GO:0070006 - metalloaminopeptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]			M24A			
H9P43_000080	H9P43_000080-T1	mRNA	c_be_22_1	123110	128794	-	RPO21	DNA-directed RNA polymerase II core subunit rpo21		2.7.7.6		PF00623;PF04983;PF04990;PF04992;PF04997;PF04998;PF05000;PF05001	IPR000684 RNA polymerase II, heptapeptide repeat, eukaryotic;IPR000722 RNA polymerase, alpha subunit;IPR006592 RNA polymerase, N-terminal;IPR007066 RNA polymerase Rpb1, domain 3;IPR007073 RNA polymerase Rpb1, domain 7;IPR007075 RNA polymerase Rpb1, domain 6;IPR007080 RNA polymerase Rpb1, domain 1;IPR007081 RNA polymerase Rpb1, domain 5;IPR007083 RNA polymerase Rpb1, domain 4;IPR038120 RNA polymerase Rpb1, funnel domain superfamily;IPR038593 RNA polymerase Rpb1, domain 7 superfamily;IPR042102 RNA polymerase Rpb1, domain 3 superfamily;IPR044893 RNA polymerase Rpb1, clamp domain superfamily;IPR045867 DNA-directed RNA polymerase, subunit beta-prime	ENOG503NWQ7	K:(K) Transcription	GO_function: GO:0003899 - DNA-directed 5'-3' RNA polymerase activity [Evidence IEA];GO_function: GO:0003677 - DNA binding [Evidence IEA];GO_process: GO:0006366 - transcription by RNA polymerase II [Evidence IEA];GO_process: GO:0006351 - transcription, DNA-templated [Evidence IEA]						
H9P43_000081	H9P43_000081-T1	mRNA	c_be_22_1	130140	131882	+	CDC14	cell division control protein 14				PF14671	IPR000340 Dual specificity phosphatase, catalytic domain;IPR000387 Tyrosine-specific protein phosphatases domain;IPR003595 Protein-tyrosine phosphatase, catalytic;IPR016130 Protein-tyrosine phosphatase, active site;IPR020422 Dual specificity protein phosphatase domain;IPR026070 Tyrosine-protein phosphatase CDC14;IPR029021 Protein-tyrosine phosphatase-like;IPR029260 Dual specificity/tyrosine protein phosphatase, N-terminal;IPR044506 Dual-specificity phosphatase CDC14, C-terminal	ENOG503NU1E	V:(V) Defense mechanisms	GO_function: GO:0016791 - phosphatase activity [Evidence IEA];GO_function: GO:0008138 - protein tyrosine/serine/threonine phosphatase activity [Evidence IEA];GO_function: GO:0004721 - phosphoprotein phosphatase activity [Evidence IEA];GO_process: GO:0006470 - protein dephosphorylation [Evidence IEA];GO_process: GO:0016311 - dephosphorylation [Evidence IEA];GO_process: GO:0007096 - regulation of exit from mitosis [Evidence IEA]						
H9P43_000082	H9P43_000082-T1	mRNA	c_be_22_1	132221	135003	+		hypothetical protein		3.4.19.12		PF01398;PF08969	IPR000555 JAB1/MPN/MOV34 metalloenzyme domain;IPR015063 USP8 dimerisation domain;IPR037518 MPN domain;IPR044098 STAMBP/STALP-like, MPN domain	ENOG503NXWM	T:(T) Signal transduction mechanisms	GO_function: GO:0008237 - metallopeptidase activity [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0061578 - Lys63-specific deubiquitinase activity [Evidence IEA];GO_function: GO:0140492 - metal-dependent deubiquitinase activity [Evidence IEA];GO_function: GO:0070122 - obsolete isopeptidase activity [Evidence IEA];GO_process: GO:0016579 - protein deubiquitination [Evidence IEA];GO_process: GO:0070536 - protein K63-linked deubiquitination [Evidence IEA]			M67C			
H9P43_000083	H9P43_000083-T1	mRNA	c_be_22_1	135982	137409	+	URA9	Dihydroorotate dehydrogenase (quinone), mitochondrial				PF01180	IPR001295 Dihydroorotate dehydrogenase, conserved site;IPR005719 Dihydroorotate dehydrogenase, class 2;IPR005720 Dihydroorotate dehydrogenase domain;IPR013785 Aldolase-type TIM barrel	ENOG503NXFM	F:(F) Nucleotide transport and metabolism	GO_component: GO:0005737 - cytoplasm [Evidence IEA];GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors [Evidence IEA];GO_function: GO:0004152 - dihydroorotate dehydrogenase activity [Evidence IEA];GO_process: GO:0006207 - 'de novo' pyrimidine nucleobase biosynthetic process [Evidence IEA]						
H9P43_000084	H9P43_000084-T1	mRNA	c_be_22_1	137669	141948	+	TFC4	transcription factor TFIIIC subunit tfc4					IPR011990 Tetratricopeptide-like helical domain superfamily;IPR019734 Tetratricopeptide repeat;IPR039340 Transcription factor Tfc4/TFIIIC-102/Sfc4	ENOG503NXIZ	K:(K) Transcription	GO_function: GO:0005515 - protein binding [Evidence IEA];GO_process: GO:0006383 - transcription by RNA polymerase III [Evidence IEA]						
H9P43_000085	H9P43_000085-T1	mRNA	c_be_22_1	142158	143438	+		hypothetical protein				PF00168	IPR000008 C2 domain;IPR035892 C2 domain superfamily	ENOG503QETD	S:(S) Function unknown							
H9P43_000086	H9P43_000086-T1	mRNA	c_be_22_1	143579	144651	-		hypothetical protein				PF15630	IPR009072 Histone-fold;IPR029003 CENP-S/Mhf1	ENOG503ABEI	S:(S) Function unknown	GO_component: GO:0071821 - FANCM-MHF complex [Evidence IEA];GO_function: GO:0046982 - protein heterodimerization activity [Evidence IEA]						
H9P43_000087	H9P43_000087-T1	mRNA	c_be_22_1	145184	146034	+	YPT7	Rab GTPase ypt7				PF00025;PF00071;PF08477	IPR001806 Small GTPase;IPR005225 Small GTP-binding protein domain;IPR027417 P-loop containing nucleoside triphosphate hydrolase	ENOG503NWMV	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_function: GO:0003924 - GTPase activity [Evidence IEA];GO_function: GO:0005525 - GTP binding [Evidence IEA]						
H9P43_000088	H9P43_000088-T1	mRNA	c_be_22_1	146274	148541	-		hypothetical protein														
H9P43_000089	H9P43_000089-T1	mRNA	c_be_22_1	149031	152955	+		hypothetical protein				PF00924	IPR002048 EF-hand domain;IPR006685 Mechanosensitive ion channel MscS;IPR010920 LSM domain superfamily;IPR011992 EF-hand domain pair;IPR018247 EF-Hand 1, calcium-binding site;IPR023408 Mechanosensitive ion channel MscS domain superfamily	ENOG503NUXS	M:(M) Cell wall/membrane/envelope biogenesis	GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0005509 - calcium ion binding [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]						
H9P43_000090	H9P43_000090-T1	mRNA	c_be_22_1	153030	156050	-	STE23_1	metalloprotease		3.4.24.56		PF00675;PF05193;PF16187	IPR001431 Peptidase M16, zinc-binding site;IPR007863 Peptidase M16, C-terminal;IPR011249 Metalloenzyme, LuxS/M16 peptidase-like;IPR011765 Peptidase M16, N-terminal;IPR032632 Peptidase M16, middle/third domain	ENOG503NUAC	O:(O) Posttranslational modification, protein turnover, chaperones	GO_function: GO:0004222 - metalloendopeptidase activity [Evidence IEA];GO_function: GO:0046872 - metal ion binding [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]			M16A			
H9P43_000091	H9P43_000091-T1	mRNA	c_be_22_1	156718	157562	+	UBE2E1	ubiquitin-conjugating enzyme E2 E1				PF00179	IPR000608 Ubiquitin-conjugating enzyme E2;IPR016135 Ubiquitin-conjugating enzyme/RWD-like;IPR023313 Ubiquitin-conjugating enzyme, active site	ENOG503NZD4	O:(O) Posttranslational modification, protein turnover, chaperones							
H9P43_000092	H9P43_000092-T1	mRNA	c_be_22_1	157739	160351	-		hypothetical protein														
H9P43_000093	H9P43_000093-T1	mRNA	c_be_22_1	160811	162766	-		hypothetical protein														
H9P43_000094	H9P43_000094-T1	mRNA	c_be_22_1	164176	166487	+	GSY1	glycogen synthase isoform 1		2.4.1.11		PF05693	IPR008631 Glycogen synthase	ENOG503NU8X	H:(H) Coenzyme transport and metabolism	GO_function: GO:0004373 - glycogen (starch) synthase activity [Evidence IEA];GO_process: GO:0005978 - glycogen biosynthetic process [Evidence IEA]						
H9P43_000095	H9P43_000095-T1	mRNA	c_be_22_1	167471	167998	+	SDH4	membrane anchor subunit of succinate dehydrogenase, Sdh4				PF05328	IPR007992 Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, CybS;IPR034804 Fumarate reductase/succinate dehydrogenase, transmembrane subunit	ENOG503A1TE	C:(C) Energy production and conversion	GO_component: GO:0005740 - mitochondrial envelope [Evidence IEA];GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_component: GO:0016020 - membrane [Evidence IEA]						
H9P43_000096	H9P43_000096-T1	mRNA	c_be_22_1	168321	169292	-	TSF1	Elongation factor Ts, mitochondrial				PF00889	IPR001816 Translation elongation factor EFTs/EF1B;IPR009060 UBA-like superfamily;IPR014039 Translation elongation factor EFTs/EF1B, dimerisation;IPR018101 Translation elongation factor Ts, conserved site;IPR036402 Elongation factor Ts, dimerisation domain superfamily	ENOG503P2RA	J:(J) Translation, ribosomal structure and biogenesis	GO_function: GO:0003746 - translation elongation factor activity [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA];GO_process: GO:0006414 - translational elongation [Evidence IEA]						
H9P43_000097	H9P43_000097-T1	mRNA	c_be_22_1	169600	170679	+		hypothetical protein					IPR012677 Nucleotide-binding alpha-beta plait domain superfamily;IPR035979 RNA-binding domain superfamily			GO_function: GO:0003676 - nucleic acid binding [Evidence IEA]						
H9P43_000098	H9P43_000098-T1	mRNA	c_be_22_1	170722	172669	-	PRP31	U4/U6-U5 snRNP complex subunit prp31				PF01798;PF09785	IPR002687 Nop domain;IPR012976 NOSIC;IPR019175 Prp31 C-terminal;IPR027105 U4/U6 small nuclear ribonucleoprotein Prp31;IPR036070 Nop domain superfamily;IPR042239 Nop, C-terminal domain	ENOG503NWX2	A:(A) RNA processing and modification	GO_component: GO:0046540 - U4/U6 x U5 tri-snRNP complex [Evidence IEA];GO_process: GO:0000398 - mRNA splicing, via spliceosome [Evidence IEA];GO_process: GO:0000244 - spliceosomal tri-snRNP complex assembly [Evidence IEA]						
H9P43_000099	H9P43_000099-T1	mRNA	c_be_22_1	174918	175994	-		hypothetical protein				PF13300	IPR025066 Coiled-coil domain-containing protein 174-like	ENOG503NZ0Y	S:(S) Function unknown							
H9P43_000100	H9P43_000100-T1	mRNA	c_be_22_1	176523	177716	+		hypothetical protein						ENOG503P6WW	S:(S) Function unknown							
H9P43_000101	H9P43_000101-T1	mRNA	c_be_22_1	177768	178727	-		hypothetical protein														
H9P43_000102	H9P43_000102-T1	mRNA	c_be_22_1	179013	181259	-		hypothetical protein				PF10155	IPR019312 CCR4-NOT transcription complex subunit 11			GO_component: GO:0030014 - CCR4-NOT complex [Evidence IEA]						
H9P43_000103	H9P43_000103-T1	mRNA	c_be_22_1	181712	182487	+	WDYHV1	Protein N-terminal glutamine amidohydrolase		3.5.1.122		PF09764	IPR023128 Protein N-terminal glutamine amidohydrolase, alpha beta roll;IPR037132 Protein N-terminal glutamine amidohydrolase, alpha beta roll superfamily;IPR039733 Protein N-terminal glutamine amidohydrolase	ENOG503BB47	S:(S) Function unknown	GO_function: GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [Evidence IEA];GO_function: GO:0008418 - protein-N-terminal asparagine amidohydrolase activity [Evidence IEA];GO_function: GO:0070773 - protein-N-terminal glutamine amidohydrolase activity [Evidence IEA]						
H9P43_000104	H9P43_000104-T1	mRNA	c_be_22_1	182807	184769	+		hypothetical protein		3.4.11.9		PF00557;PF01321;PF16188;PF16189	IPR000587 Creatinase, N-terminal;IPR000994 Peptidase M24;IPR029149 Creatinase/Aminopeptidase P/Spt16, N-terminal;IPR032416 Peptidase M24, C-terminal domain;IPR033740 Aminopeptidase P;IPR036005 Creatinase/aminopeptidase-like	ENOG503NU3T	E:(E) Amino acid transport and metabolism	GO_function: GO:0070006 - metalloaminopeptidase activity [Evidence IEA];GO_function: GO:0016787 - hydrolase activity [Evidence IEA]			M24B			
H9P43_000105	H9P43_000105-T1	mRNA	c_be_22_1	184850	187109	-		hypothetical protein														
H9P43_000106	H9P43_000106-T1	mRNA	c_be_22_1	189419	191352	-		hypothetical protein					IPR001680 WD40 repeat;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR033052 Cmr1/WDR76;IPR036322 WD40-repeat-containing domain superfamily	ENOG503NVA8	L:(L) Replication, recombination and repair	GO_function: GO:0005515 - protein binding [Evidence IEA];GO_process: GO:0006974 - cellular response to DNA damage stimulus [Evidence IEA]						
H9P43_000107	H9P43_000107-T1	mRNA	c_be_22_1	191543	194567	+		hypothetical protein					IPR038919 Stb2/Stb6	ENOG503NVRW	S:(S) Function unknown							
H9P43_000108	H9P43_000108-T1	mRNA	c_be_22_1	194849	195910	+		hypothetical protein				PF00646	IPR001810 F-box domain;IPR036047 F-box-like domain superfamily			GO_function: GO:0005515 - protein binding [Evidence IEA]						
H9P43_000109	H9P43_000109-T1	mRNA	c_be_22_1	196202	201251	+		hypothetical protein					IPR011990 Tetratricopeptide-like helical domain superfamily;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR036322 WD40-repeat-containing domain superfamily	ENOG503P9ZN	S:(S) Function unknown	GO_function: GO:0005515 - protein binding [Evidence IEA]						
H9P43_000110	H9P43_000110-T1	mRNA	c_be_22_1	201395	202528	-	NEM1	Nuclear envelope morphology protein 1		3.1.3.16		PF03031	IPR004274 FCP1 homology domain;IPR011948 Dullard phosphatase domain, eukaryotic;IPR023214 HAD superfamily;IPR036412 HAD-like superfamily	ENOG503NV8A	K:(K) Transcription	GO_function: GO:0016791 - phosphatase activity [Evidence IEA]						
H9P43_000111	H9P43_000111-T1	mRNA	c_be_22_1	202876	203748	+		hypothetical protein				PF00023;PF12796;PF13606;PF13637;PF13857	IPR002110 Ankyrin repeat;IPR036770 Ankyrin repeat-containing domain superfamily	ENOG503P5WP	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_function: GO:0005515 - protein binding [Evidence IEA]						
H9P43_000112	H9P43_000112-T1	mRNA	c_be_22_1	204007	207204	+		hypothetical protein				PF04082	IPR007219 Transcription factor domain, fungi	ENOG503Q528	K:(K) Transcription	GO_function: GO:0003677 - DNA binding [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_process: GO:0006351 - transcription, DNA-templated [Evidence IEA]						
H9P43_000113	H9P43_000113-T1	mRNA	c_be_22_1	209330	211512	+	CATSPER2_1	Cation channel sperm-associated protein 2				PF00520	IPR005821 Ion transport domain;IPR027359 Voltage-dependent channel domain superfamily;IPR028747 Cation channel sperm-associated protein 2	ENOG5039RD8	P:(P) Inorganic ion transport and metabolism;T:(T) Signal transduction mechanisms	GO_component: GO:0016020 - membrane [Evidence IEA];GO_component: GO:0036128 - CatSper complex [Evidence IEA];GO_function: GO:0005227 - calcium activated cation channel activity [Evidence IEA];GO_function: GO:0005216 - ion channel activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA];GO_process: GO:0006811 - ion transport [Evidence IEA];GO_process: GO:0030317 - flagellated sperm motility [Evidence IEA]						
