Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity	#GOs	GOs	Enzyme Codes	InterProScan
Be3_11	dynein heavy chain axonemal	4598	5	0.0	77.6%	6	F:nucleotide binding; F:hydrolase activity; F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex		IPR003593; IPR011704; IPR013594; IPR013602; IPR024317; IPR024743; IPR026982; IPR026983; G3DSA:3.40.50.300 (GENE3D), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_12	---NA---	4590	0			0	-		tmhmm (TMHMM)	
Be3_13	hydrocephalus-inducing protein homolog	4347	5	0.0	55.4%	1	F:structural molecule activity		IPR000535; IPR008962; PTHR23053 (PANTHER), PTHR23053:SF0 (PANTHER)	
Be3_14	---NA---	4310	0			0	-		tmhmm (TMHMM), SSF54928 (SUPERFAMILY)	
Be3_15	hypothetical protein BATDEDRAFT_21115	4117	5	0.0	73.6%	5	F:nucleotide binding; C:cell; P:transport; F:actin binding; F:hydrolase activity	-	IPR001140; IPR001589; IPR001715; IPR003439; IPR003593; IPR009262; IPR011527; IPR017940; G3DSA:1.20.1560.10 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR24223 (PANTHER), tmhmm (TMHMM), SSF103481 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_16	dynein heavy chain axonemal	4098	5	0.0	70.8%	6	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; F:nucleotide binding; F:hydrolase activity		IPR003593; IPR004273; IPR011704; IPR013602; IPR018247; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF138 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_17	unnamed protein product, partial	4057	1	2.13985E-18	49.0%	5	F:signal transducer activity; P:signal transduction; C:cell; F:nucleotide binding; C:intracellular		IPR004089; IPR008979; IPR010978; IPR011072; IPR013857; PTHR13194 (PANTHER), SSF46966 (SUPERFAMILY)	
Be3_18	hypothetical protein BATDEDRAFT_36053	4004	1	6.46045E-23	74.0%	0	-		PTHR23034 (PANTHER)	
Be3_19	---NA---	3971	0			2	F:binding; F:protein binding		IPR001293; IPR008974; PTHR10131 (PANTHER), PTHR10131:SF52 (PANTHER)	
Be3_20	type ii inositol- -trisphosphate 5-phosphatase-like	3967	5	5.38306E-120	53.2%	5	P:lipid metabolic process; F:catalytic activity; C:peroxisome; P:catabolic process; F:nucleotide binding		IPR000300; IPR002655; IPR005135; IPR006091; IPR009075; IPR009100; IPR012258; IPR013786; G3DSA:1.20.140.10 (GENE3D), G3DSA:3.60.10.10 (GENE3D), PTHR10909 (PANTHER)	
Be3_21	dynein heavy chain	3965	5	0.0	75.6%	6	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; F:nucleotide binding; F:hydrolase activity	(3.6) Acting on acid anhydrides	IPR003593; IPR004273; IPR011704; IPR013602; IPR024317; IPR024743; IPR025290; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF28 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_22	dynein heavy chain axonemal	3965	5	0.0	76.8%	6	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; F:nucleotide binding; F:hydrolase activity		IPR004273; IPR011704; IPR013602; IPR018247; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF138 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_23	related to tra1-component of the ada-spt transcriptional regulatory complex	3958	5	0.0	59.8%	1	F:protein binding		IPR000403; IPR003151; IPR003152; IPR011009; IPR011989; IPR011990; IPR014009; IPR016024; PTHR11139 (PANTHER), PTHR11139:SF2 (PANTHER)	
Be3_24	dynein heavy chain axonemal-like	3955	5	0.0	71.8%	6	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; F:nucleotide binding; F:hydrolase activity		IPR003593; IPR004273; IPR011704; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF136 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_25	related to tra1-component of the ada-spt transcriptional regulatory complex	3903	5	0.0	59.8%	1	F:protein binding		IPR003151; IPR014009; IPR016024; PTHR11139 (PANTHER), PTHR11139:SF2 (PANTHER)	
Be3_26	lammer kinase-like protein	3892	5	2.73307E-105	64.0%	8	P:cellular protein modification process; F:protein kinase activity; P:regulation of biological process; P:cellular component organization; P:growth; C:nucleus; ; F:nucleotide binding	(2.7) Transferring phosphorous-containing groups	IPR000719; IPR002290; IPR008271; IPR011009; IPR011989; IPR016024; IPR017441; IPR020635; IPR024372; G3DSA:1.10.510.10 (GENE3D), G3DSA:3.30.200.20 (GENE3D), PTHR24058 (PANTHER), PTHR24058:SF10 (PANTHER), tmhmm (TMHMM)	
Be3_27	related to tra1-component of the ada-spt transcriptional regulatory complex	3882	5	0.0	59.8%	1	F:protein binding		IPR000403; IPR003151; IPR003152; IPR011009; IPR011989; IPR011990; IPR014009; IPR016024; PTHR11139 (PANTHER), PTHR11139:SF2 (PANTHER)	
Be3_28	lammer kinase-like protein	3855	5	3.10085E-105	64.0%	8	P:cellular protein modification process; F:protein kinase activity; P:regulation of biological process; P:cellular component organization; P:growth; C:nucleus; ; F:nucleotide binding	(2.7) Transferring phosphorous-containing groups	IPR000719; IPR002290; IPR008271; IPR011009; IPR011989; IPR016024; IPR017441; IPR020635; IPR024372; G3DSA:1.10.510.10 (GENE3D), G3DSA:3.30.200.20 (GENE3D), PTHR24058 (PANTHER), PTHR24058:SF10 (PANTHER), tmhmm (TMHMM)	
Be3_29	fatty acid synthase subunit	3854	5	0.0	68.0%	8	F:binding; P:biosynthetic process; F:catalytic activity; F:transferase activity; C:protein complex; C:cytoplasm; P:lipid metabolic process; P:metabolic process	-	IPR001227; IPR002539; IPR003965; IPR014030; IPR014031; IPR014043; IPR016035; IPR016038; IPR016039; IPR018201; IPR020801; G3DSA:3.10.129.10 (GENE3D), PTHR10982 (PANTHER), PTHR10982:SF4 (PANTHER), PF13561 (PFAM), SSF51735 (SUPERFAMILY), SSF54637 (SUPERFAMILY)	
Be3_30	fatty acid synthase alpha subunit	3850	5	0.0	74.6%	9	F:catalytic activity; F:transferase activity; C:protein complex; C:cytoplasm; P:biosynthetic process; P:lipid metabolic process; P:metabolic process; F:binding; 	-	IPR001227; IPR002539; IPR003965; IPR008278; IPR014030; IPR014031; IPR014043; IPR016035; IPR016038; IPR016039; IPR018201; G3DSA:3.10.129.10 (GENE3D), PTHR10982 (PANTHER), PTHR10982:SF4 (PANTHER), SSF51735 (SUPERFAMILY), SSF54637 (SUPERFAMILY)	
Be3_31	fatty acid synthase subunit	3801	5	0.0	66.2%	7	F:catalytic activity; F:transferase activity; C:protein complex; C:cytoplasm; P:biosynthetic process; P:lipid metabolic process; P:metabolic process	-	IPR001227; IPR002539; IPR003965; IPR014030; IPR014031; IPR014043; IPR016035; IPR016038; IPR016039; IPR018201; IPR020801; G3DSA:3.10.129.10 (GENE3D), PTHR10982 (PANTHER), PTHR10982:SF4 (PANTHER), SSF51735 (SUPERFAMILY), SSF54637 (SUPERFAMILY)	
Be3_32	glycogen branching enzyme	3759	5	0.0	75.0%	15	F:transferase activity; F:lipid binding; P:carbohydrate metabolic process; F:binding; F:sequence-specific DNA binding transcription factor activity; P:transport; C:cell; P:metabolic process; P:regulation of biological process; P:cell cycle; F:protein binding; F:DNA binding; C:nucleoplasm; C:protein complex; 	-	IPR000648; IPR001849; IPR004193; IPR006047; IPR006048; IPR006589; IPR008967; IPR009038; IPR011993; IPR013763; IPR013780; IPR013781; IPR013783; IPR013922; IPR014756; IPR015902; IPR017853; IPR024061; IPR025712; PTHR10357:SF27 (PANTHER), SSF144000 (SUPERFAMILY), SSF50729 (SUPERFAMILY), SSF51011 (SUPERFAMILY)	
Be3_33	---NA---	3741	0			0	-		tmhmm (TMHMM)	
Be3_34	---NA---	3741	0			2	F:binding; F:protein binding		IPR001293; IPR008974; PTHR10131 (PANTHER), PTHR10131:SF52 (PANTHER), SignalP-NN(euk) (SIGNALP)	
Be3_35	hypothetical protein DICSQDRAFT_123867	3688	5	3.32828E-24	50.8%	0	-		PTHR31315 (PANTHER), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM)	
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	3686	5	0.0	52.2%	7	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; F:nucleotide binding; F:hydrolase activity; P:cellular component organization		IPR004273; IPR011704; IPR013594; IPR013602; IPR024743; IPR026815; IPR026983; G3DSA:3.40.50.300 (GENE3D), PF12774 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_37	hypothetical protein BATDEDRAFT_91491	3614	1	2.82687E-81	47.0%	0	-		IPR008962; PTHR23053 (PANTHER), PTHR23053:SF0 (PANTHER)	
Be3_38	---NA---	3573	0			2	F:binding; F:protein binding		IPR001293; IPR008974; PTHR10131 (PANTHER)	
Be3_39	dynein heavy chain axonemal-like	3510	5	0.0	77.4%	5	F:nucleotide binding; F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex	(3.6) Acting on acid anhydrides	IPR004273; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF138 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_40	---NA---	3498	0			0	-		IPR009836	
Be3_41	---NA---	3493	0			0	-		no IPS match	
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	3442	5	0.0	52.4%	7	F:nucleotide binding; F:hydrolase activity; P:biological_process; F:motor activity; P:cellular component organization; C:cytoskeleton; C:protein complex		IPR011704; IPR013594; IPR013602; IPR024743; IPR026815; IPR026983; G3DSA:3.40.50.300 (GENE3D), PF12774 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_43	---NA---	3371	0			4	F:binding; F:protein binding; F:catalytic activity; P:cellular protein modification process		IPR001293; IPR008974; IPR013323; PTHR10131 (PANTHER)	
Be3_44	---NA---	3354	0			2	F:binding; F:protein binding		IPR001293; IPR008974; PTHR10131 (PANTHER), PTHR10131:SF52 (PANTHER)	
Be3_45	---NA---	3332	0			0	-		IPR009836	
Be3_46	hypothetical protein BATDEDRAFT_34978	3303	2	0.0	48.5%	0	-		IPR008962; PTHR23053 (PANTHER), PTHR23053:SF0 (PANTHER)	
Be3_47	hypothetical protein BATDEDRAFT_34978	3277	2	0.0	48.5%	0	-		IPR008962; PTHR23053 (PANTHER), PTHR23053:SF0 (PANTHER)	
Be3_48	hypothetical pas domain protein	3235	5	4.45933E-69	75.2%	6	F:binding; P:regulation of biological process; ; F:protein kinase activity; F:nucleotide binding; P:cellular protein modification process	-	IPR000719; IPR011009; IPR017441; G3DSA:3.30.200.20 (GENE3D), PTHR31986 (PANTHER)	
Be3_49	---NA---	3226	0			0	-		SSF57850 (SUPERFAMILY)	
Be3_50	---NA---	3183	0			0	-		no IPS match	
Be3_51	cytochrome p450-type monooxygenase 97a29	3178	5	4.52659E-41	48.6%	3	F:electron carrier activity; F:binding; P:metabolic process		IPR001128; IPR002401; IPR017972; PTHR24305 (PANTHER), tmhmm (TMHMM)	
Be3_52	dynein heavy chain axonemal-like	3142	5	0.0	71.0%	4	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex		IPR004273; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF138 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_53	dynein heavy chain axonemal	3131	5	0.0	69.8%	4	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex		IPR004273; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF138 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_54	---NA---	3128	0			0	-		tmhmm (TMHMM)	
Be3_55	metallo-dependent phosphatase	3115	5	0.0	85.4%	5	F:phosphoprotein phosphatase activity; P:cellular protein modification process; C:cytoplasm; P:catabolic process; 	(3.1) Acting on ester bonds	IPR004843; IPR005920; IPR006186; IPR011059; G3DSA:2.30.40.10 (GENE3D), G3DSA:3.20.20.140 (GENE3D), G3DSA:3.60.21.10 (GENE3D), PTHR11668 (PANTHER), PTHR11668:SF15 (PANTHER), PF13147 (PFAM), SSF51556 (SUPERFAMILY), SSF56300 (SUPERFAMILY)	
Be3_56	atp-binding cassette transporter	3111	5	1.18024E-55	46.2%	2	F:nucleotide binding; F:hydrolase activity		IPR003439; IPR003593; IPR017871; IPR026082; G3DSA:3.40.50.300 (GENE3D), PF12698 (PFAM), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_57	---NA---	3110	0			0	-		no IPS match	
Be3_58	unnamed protein product, partial	3102	1	1.69991E-17	51.0%	0	-		IPR009053; SSF46966 (SUPERFAMILY)	
Be3_59	pre-mrna-processing-splicing factor 8	3080	5	0.0	84.8%	3	C:nucleus; F:RNA binding; P:nucleobase-containing compound metabolic process	-	IPR012591; IPR012592; IPR012984; PTHR11140 (PANTHER), PTHR11140:SF0 (PANTHER)	
Be3_60	u3 small nucleolar rna-associated protein 15	3066	5	1.52679E-132	63.6%	7	F:enzyme regulator activity; P:signal transduction; F:protein binding; F:nucleic acid binding; F:binding; C:nucleolus; P:nucleobase-containing compound metabolic process		IPR000195; IPR001680; IPR001878; IPR015943; IPR017986; IPR018983; IPR019775; IPR020472; IPR021109; G3DSA:1.10.8.270 (GENE3D), PTHR19924 (PANTHER), PTHR19924:SF9 (PANTHER), PF13650 (PFAM)	
Be3_61	unnamed protein product, partial	3064	1	1.30221E-17	51.0%	2	C:cell; P:transport		IPR009053; IPR010989; SSF46966 (SUPERFAMILY)	
Be3_62	---NA---	3062	0			0	-		tmhmm (TMHMM)	
Be3_63	related to vps13-involved in regulating membrane traffic	3035	5	0.0	50.0%	1	P:protein localization		IPR009543; IPR015412; IPR026847; IPR026854; PTHR16166:SF38 (PANTHER)	
Be3_64	exocyst complex component 7	3028	5	4.76292E-40	47.6%	5	P:metabolic process; F:hydrolase activity; C:protein complex; C:cytoplasm; P:transport		IPR002168; IPR004140; IPR013094; IPR016159; G3DSA:3.40.50.1820 (GENE3D), SSF53474 (SUPERFAMILY)	
Be3_65	---NA---	3028	0			2	F:signal transducer activity; P:signal transduction		IPR000014; IPR006189; G3DSA:3.30.450.20 (GENE3D), G3DSA:3.40.50.300 (GENE3D), tmhmm (TMHMM), SSF52540 (SUPERFAMILY), SSF55785 (SUPERFAMILY)	
Be3_66	atp-dependent peptidase	3019	5	0.0	77.8%	9	F:hydrolase activity; F:peptidase activity; F:nucleotide binding; P:protein metabolic process; P:catabolic process; P:biosynthetic process; P:cellular protein modification process; P:lipid metabolic process; C:endoplasmic reticulum	(3.6) Acting on acid anhydrides	IPR000642; IPR003593; IPR003959; IPR003960; IPR005599; IPR005936; G3DSA:1.10.8.60 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR23076 (PANTHER), PTHR23076:SF10 (PANTHER), tmhmm (TMHMM), SSF140990 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_67	---NA---	2996	0			0	-		G3DSA:3.40.50.300 (GENE3D), G3DSA:3.80.10.10 (GENE3D), PTHR23274 (PANTHER), PF13516 (PFAM), SSF52047 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_68	---NA---	2967	0			0	-		G3DSA:3.80.10.10 (GENE3D), tmhmm (TMHMM), SSF52047 (SUPERFAMILY)	
Be3_69	exocyst complex component 7-like isoform 4	2957	5	1.27855E-47	47.6%	5	C:protein complex; C:cytoplasm; P:transport; P:metabolic process; F:hydrolase activity	-	IPR004140; IPR005334; IPR013094; IPR016159; G3DSA:3.40.50.1820 (GENE3D), SSF53474 (SUPERFAMILY)	
Be3_70	protein kinase	2953	5	3.2508E-104	51.2%	5	F:nucleotide binding; P:cellular protein modification process; F:protein binding; F:protein kinase activity; 		IPR000719; IPR002290; IPR006575; IPR008271; IPR011009; IPR016135; IPR017441; IPR020635; G3DSA:1.10.510.10 (GENE3D), G3DSA:3.30.200.20 (GENE3D), G3DSA:3.30.930.10 (GENE3D), PTHR11042 (PANTHER), PTHR11042:SF38 (PANTHER), tmhmm (TMHMM), SSF55681 (SUPERFAMILY)	
Be3_71	---NA---	2944	0			0	-		G3DSA:3.40.50.300 (GENE3D), G3DSA:3.80.10.10 (GENE3D), PTHR23274 (PANTHER), PF13516 (PFAM), SSF52047 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_72	acetyl- carboxylase	2914	5	9.4748E-101	68.6%	7	F:nucleotide binding; F:binding; F:catalytic activity; P:biosynthetic process; P:lipid metabolic process; C:protein complex; C:cytoplasm	-	IPR005479; IPR005482; IPR011054; IPR011761; IPR011764; IPR013815; IPR013816; PTHR18866 (PANTHER), PTHR18866:SF6 (PANTHER), SSF56059 (SUPERFAMILY)	
Be3_73	thimet oligopeptidase	2913	5	1.47413E-176	63.6%	9	C:cell; F:peptidase activity; F:binding; P:metabolic process; P:signal transduction; P:protein metabolic process; P:catabolic process; F:signal transducer activity; F:protein binding	(3.4) Acting on peptide bonds (peptide hydrolases)	IPR000014; IPR001567; IPR001611; IPR006189; IPR024077; IPR024079; IPR024080; G3DSA:3.30.450.20 (GENE3D), G3DSA:3.80.10.10 (GENE3D), G3DSA:3.90.1410.10 (GENE3D), PTHR11804 (PANTHER), PF13426 (PFAM), tmhmm (TMHMM), SSF52058 (SUPERFAMILY), SSF55486 (SUPERFAMILY), SSF55785 (SUPERFAMILY), SSF82199 (SUPERFAMILY)	
Be3_74	protein kinase	2908	5	4.18548E-100	51.8%	5	F:nucleotide binding; P:cellular protein modification process; F:protein binding; F:protein kinase activity; 		IPR000719; IPR002290; IPR006575; IPR008271; IPR011009; IPR016135; IPR020635; G3DSA:1.10.510.10 (GENE3D), G3DSA:3.30.200.20 (GENE3D), G3DSA:3.30.930.10 (GENE3D), PTHR11042 (PANTHER), PTHR11042:SF38 (PANTHER), tmhmm (TMHMM), SSF55681 (SUPERFAMILY)	
Be3_75	pre-mrna-processing-splicing factor 8-like	2905	5	0.0	87.6%	2	F:protein binding; C:nucleus		IPR000555; IPR012591; IPR012592; IPR012984; IPR019580; IPR019581; IPR019582; IPR021983; PTHR11140 (PANTHER), PTHR11140:SF0 (PANTHER), tmhmm (TMHMM)	
Be3_76	fatty acid synthase subunit	2901	5	0.0	66.0%	9	F:catalytic activity; F:transferase activity; C:protein complex; C:cytoplasm; P:biosynthetic process; P:lipid metabolic process; P:metabolic process; F:binding; 	-	IPR001227; IPR002539; IPR003965; IPR008278; IPR014030; IPR014031; IPR014043; IPR016035; IPR016038; IPR016039; IPR018201; IPR020801; G3DSA:3.10.129.10 (GENE3D), PTHR10982 (PANTHER), PTHR10982:SF4 (PANTHER), SSF51735 (SUPERFAMILY), SSF54637 (SUPERFAMILY)	
Be3_77	---NA---	2898	0			0	-		no IPS match	
Be3_78	---NA---	2896	0			0	-		tmhmm (TMHMM)	
Be3_79	---NA---	2893	0			1	F:protein binding		IPR002110; IPR020683; PTHR16036 (PANTHER)	
Be3_80	---NA---	2890	0			0	-		no IPS match	
Be3_81	---NA---	2883	0			0	-		no IPS match	
Be3_82	---NA---	2816	0			0	-		tmhmm (TMHMM)	
Be3_83	protein partial	2797	5	1.13041E-18	41.8%	0	-		IPR024963; PTHR31516 (PANTHER), PTHR31516:SF0 (PANTHER)	
Be3_84	protein kinase subdomain-containing protein	2781	5	0.0	79.0%	13	F:kinase activity; P:metabolic process; F:binding; F:catalytic activity; F:nucleotide binding; P:biosynthetic process; P:nucleobase-containing compound metabolic process; F:transferase activity; C:protein complex; C:cytoplasm; ; C:cell; P:catabolic process	(2.1) Transferring one-carbon groups	IPR002082; IPR002474; IPR005479; IPR005480; IPR005481; IPR005483; IPR006130; IPR006131; IPR006132; IPR006274; IPR006275; IPR011607; IPR011761; IPR013815; IPR013816; IPR016185; IPR017926; PR00099 (PRINTS), G3DSA:3.40.50.1370 (GENE3D), G3DSA:3.40.50.880 (GENE3D), PTHR11405 (PANTHER), PTHR11405:SF3 (PANTHER), SSF52317 (SUPERFAMILY), SSF56059 (SUPERFAMILY)	
Be3_85	initiator trna phosphoribosyl transferase	2767	5	9.75801E-100	54.2%	4	P:metabolic process; F:hydrolase activity; F:catalytic activity; F:protein binding		IPR000387; IPR000608; IPR001810; IPR007306; IPR016135; G3DSA:2.60.60.30 (GENE3D), G3DSA:3.90.190.10 (GENE3D), PTHR31811 (PANTHER), PTHR31811:SF0 (PANTHER), SM00212 (SMART), tmhmm (TMHMM), SSF52799 (SUPERFAMILY)	
Be3_86	---NA---	2766	0			0	-		tmhmm (TMHMM)	
Be3_87	vacuolar isoform b	2764	5	3.39437E-12	45.4%	4	C:intracellular; P:biological_process; F:enzyme regulator activity; P:signal transduction	-	IPR001936; IPR008936; PTHR10194 (PANTHER), PTHR10194:SF23 (PANTHER)	
Be3_88	---NA---	2740	0			2	F:protein binding; F:binding		IPR001841; IPR017907; SSF57850 (SUPERFAMILY)	
Be3_89	---NA---	2736	0			0	-		no IPS match	
Be3_90	udp-glycosyltransferase glycogen phosphorylase	2734	5	4.55767E-120	63.4%	4	F:transferase activity; F:protein binding; F:lipid binding; P:lipid metabolic process	-	IPR001849; IPR002213; IPR004276; IPR011993; G3DSA:3.40.50.2000 (GENE3D), G3DSA:3.80.10.10 (GENE3D), PTHR11926:SF78 (PANTHER), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF50729 (SUPERFAMILY), SSF53756 (SUPERFAMILY)	
Be3_91	major karyopherin crm1p	2719	5	0.0	70.2%	7	F:nucleotide binding; P:transport; C:protein complex; C:nuclear envelope; P:protein transport; F:transporter activity; F:hydrolase activity		IPR001140; IPR001494; IPR003439; IPR003593; IPR011527; IPR011989; IPR013598; IPR014877; IPR016024; IPR017940; G3DSA:1.20.1560.10 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR11223 (PANTHER), PTHR11223:SF2 (PANTHER), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
