SeqName	Hit-Desc	GO-Group	GO-ID	Term
Be3_9	dynein heavy chain axonemal	F	GO:0016787	hydrolase activity
Be3_10	dynein beta ciliary-like isoform 2	F	GO:0003774	motor activity
Be3_10	dynein beta ciliary-like isoform 2	P	GO:0008150	biological_process
Be3_10	dynein beta ciliary-like isoform 2	C	GO:0005856	cytoskeleton
Be3_10	dynein beta ciliary-like isoform 2	C	GO:0043234	protein complex
Be3_10	dynein beta ciliary-like isoform 2	F	GO:0000166	nucleotide binding
Be3_10	dynein beta ciliary-like isoform 2	F	GO:0016787	hydrolase activity
Be3_11	dynein heavy chain axonemal	F	GO:0000166	nucleotide binding
Be3_11	dynein heavy chain axonemal	F	GO:0016787	hydrolase activity
Be3_11	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_11	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_11	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_11	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_13	hydrocephalus-inducing protein homolog	F	GO:0005198	structural molecule activity
Be3_15	hypothetical protein BATDEDRAFT_21115	F	GO:0000166	nucleotide binding
Be3_15	hypothetical protein BATDEDRAFT_21115	C	GO:0005623	cell
Be3_15	hypothetical protein BATDEDRAFT_21115	P	GO:0006810	transport
Be3_15	hypothetical protein BATDEDRAFT_21115	F	GO:0003779	actin binding
Be3_15	hypothetical protein BATDEDRAFT_21115	F	GO:0016787	hydrolase activity
Be3_16	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_16	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_16	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_16	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_16	dynein heavy chain axonemal	F	GO:0000166	nucleotide binding
Be3_16	dynein heavy chain axonemal	F	GO:0016787	hydrolase activity
Be3_17	unnamed protein product, partial	F	GO:0004871	signal transducer activity
Be3_17	unnamed protein product, partial	P	GO:0007165	signal transduction
Be3_17	unnamed protein product, partial	C	GO:0005623	cell
Be3_17	unnamed protein product, partial	F	GO:0000166	nucleotide binding
Be3_17	unnamed protein product, partial	C	GO:0005622	intracellular
Be3_19	---NA---	F	GO:0005488	binding
Be3_19	---NA---	F	GO:0005515	protein binding
Be3_20	type ii inositol- -trisphosphate 5-phosphatase-like	P	GO:0006629	lipid metabolic process
Be3_20	type ii inositol- -trisphosphate 5-phosphatase-like	F	GO:0003824	catalytic activity
Be3_20	type ii inositol- -trisphosphate 5-phosphatase-like	C	GO:0005777	peroxisome
Be3_20	type ii inositol- -trisphosphate 5-phosphatase-like	P	GO:0009056	catabolic process
Be3_20	type ii inositol- -trisphosphate 5-phosphatase-like	F	GO:0000166	nucleotide binding
Be3_21	dynein heavy chain	F	GO:0003774	motor activity
Be3_21	dynein heavy chain	P	GO:0008150	biological_process
Be3_21	dynein heavy chain	C	GO:0005856	cytoskeleton
Be3_21	dynein heavy chain	C	GO:0043234	protein complex
Be3_21	dynein heavy chain	F	GO:0000166	nucleotide binding
Be3_21	dynein heavy chain	F	GO:0016787	hydrolase activity
Be3_22	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_22	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_22	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_22	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_22	dynein heavy chain axonemal	F	GO:0000166	nucleotide binding
Be3_22	dynein heavy chain axonemal	F	GO:0016787	hydrolase activity
Be3_23	related to tra1-component of the ada-spt transcriptional regulatory complex	F	GO:0005515	protein binding
Be3_24	dynein heavy chain axonemal-like	F	GO:0003774	motor activity
Be3_24	dynein heavy chain axonemal-like	P	GO:0008150	biological_process
Be3_24	dynein heavy chain axonemal-like	C	GO:0005856	cytoskeleton
Be3_24	dynein heavy chain axonemal-like	C	GO:0043234	protein complex
Be3_24	dynein heavy chain axonemal-like	F	GO:0000166	nucleotide binding
Be3_24	dynein heavy chain axonemal-like	F	GO:0016787	hydrolase activity
Be3_25	related to tra1-component of the ada-spt transcriptional regulatory complex	F	GO:0005515	protein binding
Be3_26	lammer kinase-like protein	P	GO:0006464	cellular protein modification process
Be3_26	lammer kinase-like protein	F	GO:0004672	protein kinase activity
Be3_26	lammer kinase-like protein	P	GO:0050789	regulation of biological process
Be3_26	lammer kinase-like protein	P	GO:0016043	cellular component organization
Be3_26	lammer kinase-like protein	P	GO:0040007	growth
Be3_26	lammer kinase-like protein	C	GO:0005634	nucleus
Be3_26	lammer kinase-like protein	N	GO:0006519	
Be3_26	lammer kinase-like protein	F	GO:0000166	nucleotide binding
Be3_27	related to tra1-component of the ada-spt transcriptional regulatory complex	F	GO:0005515	protein binding
Be3_28	lammer kinase-like protein	P	GO:0006464	cellular protein modification process
Be3_28	lammer kinase-like protein	F	GO:0004672	protein kinase activity
Be3_28	lammer kinase-like protein	P	GO:0050789	regulation of biological process
Be3_28	lammer kinase-like protein	P	GO:0016043	cellular component organization
Be3_28	lammer kinase-like protein	P	GO:0040007	growth
Be3_28	lammer kinase-like protein	C	GO:0005634	nucleus
Be3_28	lammer kinase-like protein	N	GO:0006519	
Be3_28	lammer kinase-like protein	F	GO:0000166	nucleotide binding
Be3_29	fatty acid synthase subunit	F	GO:0005488	binding
Be3_29	fatty acid synthase subunit	P	GO:0009058	biosynthetic process
Be3_29	fatty acid synthase subunit	F	GO:0003824	catalytic activity
Be3_29	fatty acid synthase subunit	F	GO:0016740	transferase activity
Be3_29	fatty acid synthase subunit	C	GO:0043234	protein complex
Be3_29	fatty acid synthase subunit	C	GO:0005737	cytoplasm
Be3_29	fatty acid synthase subunit	P	GO:0006629	lipid metabolic process
Be3_29	fatty acid synthase subunit	P	GO:0008152	metabolic process
Be3_30	fatty acid synthase alpha subunit	F	GO:0003824	catalytic activity
Be3_30	fatty acid synthase alpha subunit	F	GO:0016740	transferase activity
Be3_30	fatty acid synthase alpha subunit	C	GO:0043234	protein complex
Be3_30	fatty acid synthase alpha subunit	C	GO:0005737	cytoplasm
Be3_30	fatty acid synthase alpha subunit	P	GO:0009058	biosynthetic process
Be3_30	fatty acid synthase alpha subunit	P	GO:0006629	lipid metabolic process
Be3_30	fatty acid synthase alpha subunit	P	GO:0008152	metabolic process
Be3_30	fatty acid synthase alpha subunit	F	GO:0005488	binding
Be3_30	fatty acid synthase alpha subunit	N	GO:0006519	
Be3_31	fatty acid synthase subunit	F	GO:0003824	catalytic activity
Be3_31	fatty acid synthase subunit	F	GO:0016740	transferase activity
Be3_31	fatty acid synthase subunit	C	GO:0043234	protein complex
Be3_31	fatty acid synthase subunit	C	GO:0005737	cytoplasm
Be3_31	fatty acid synthase subunit	P	GO:0009058	biosynthetic process
Be3_31	fatty acid synthase subunit	P	GO:0006629	lipid metabolic process
Be3_31	fatty acid synthase subunit	P	GO:0008152	metabolic process
Be3_32	glycogen branching enzyme	F	GO:0016740	transferase activity
Be3_32	glycogen branching enzyme	F	GO:0008289	lipid binding
Be3_32	glycogen branching enzyme	P	GO:0005975	carbohydrate metabolic process
Be3_32	glycogen branching enzyme	F	GO:0005488	binding
Be3_32	glycogen branching enzyme	F	GO:0003700	sequence-specific DNA binding transcription factor activity
Be3_32	glycogen branching enzyme	P	GO:0006810	transport
Be3_32	glycogen branching enzyme	C	GO:0005623	cell
Be3_32	glycogen branching enzyme	P	GO:0008152	metabolic process
Be3_32	glycogen branching enzyme	P	GO:0050789	regulation of biological process
Be3_32	glycogen branching enzyme	P	GO:0007049	cell cycle
Be3_32	glycogen branching enzyme	F	GO:0005515	protein binding
Be3_32	glycogen branching enzyme	F	GO:0003677	DNA binding
Be3_32	glycogen branching enzyme	C	GO:0005654	nucleoplasm
Be3_32	glycogen branching enzyme	C	GO:0043234	protein complex
Be3_32	glycogen branching enzyme	N	GO:0006350	
Be3_34	---NA---	F	GO:0005488	binding
Be3_34	---NA---	F	GO:0005515	protein binding
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	F	GO:0003774	motor activity
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	P	GO:0008150	biological_process
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	C	GO:0005856	cytoskeleton
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	C	GO:0043234	protein complex
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	F	GO:0000166	nucleotide binding
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	F	GO:0016787	hydrolase activity
Be3_36	cytoplasmic dynein 2 heavy chain 1-like	P	GO:0016043	cellular component organization
Be3_38	---NA---	F	GO:0005488	binding
Be3_38	---NA---	F	GO:0005515	protein binding
Be3_39	dynein heavy chain axonemal-like	F	GO:0000166	nucleotide binding
Be3_39	dynein heavy chain axonemal-like	F	GO:0003774	motor activity
Be3_39	dynein heavy chain axonemal-like	P	GO:0008150	biological_process
Be3_39	dynein heavy chain axonemal-like	C	GO:0005856	cytoskeleton
Be3_39	dynein heavy chain axonemal-like	C	GO:0043234	protein complex
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	F	GO:0000166	nucleotide binding
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	F	GO:0016787	hydrolase activity
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	P	GO:0008150	biological_process
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	F	GO:0003774	motor activity
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	P	GO:0016043	cellular component organization
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	C	GO:0005856	cytoskeleton
Be3_42	cytoplasmic dynein 2 heavy chain 1-like	C	GO:0043234	protein complex
Be3_43	---NA---	F	GO:0005488	binding
Be3_43	---NA---	F	GO:0005515	protein binding
Be3_43	---NA---	F	GO:0003824	catalytic activity
Be3_43	---NA---	P	GO:0006464	cellular protein modification process
Be3_44	---NA---	F	GO:0005488	binding
Be3_44	---NA---	F	GO:0005515	protein binding
Be3_48	hypothetical pas domain protein	F	GO:0005488	binding
Be3_48	hypothetical pas domain protein	P	GO:0050789	regulation of biological process
Be3_48	hypothetical pas domain protein	N	GO:0006350	
Be3_48	hypothetical pas domain protein	F	GO:0004672	protein kinase activity
Be3_48	hypothetical pas domain protein	F	GO:0000166	nucleotide binding
Be3_48	hypothetical pas domain protein	P	GO:0006464	cellular protein modification process
Be3_51	cytochrome p450-type monooxygenase 97a29	F	GO:0009055	electron carrier activity
Be3_51	cytochrome p450-type monooxygenase 97a29	F	GO:0005488	binding
Be3_51	cytochrome p450-type monooxygenase 97a29	P	GO:0008152	metabolic process
Be3_52	dynein heavy chain axonemal-like	F	GO:0003774	motor activity
Be3_52	dynein heavy chain axonemal-like	P	GO:0008150	biological_process
Be3_52	dynein heavy chain axonemal-like	C	GO:0005856	cytoskeleton
Be3_52	dynein heavy chain axonemal-like	C	GO:0043234	protein complex
Be3_53	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_53	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_53	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_53	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_55	metallo-dependent phosphatase	F	GO:0004721	phosphoprotein phosphatase activity
Be3_55	metallo-dependent phosphatase	P	GO:0006464	cellular protein modification process
Be3_55	metallo-dependent phosphatase	C	GO:0005737	cytoplasm
Be3_55	metallo-dependent phosphatase	P	GO:0009056	catabolic process
Be3_55	metallo-dependent phosphatase	N	GO:0006519	
Be3_56	atp-binding cassette transporter	F	GO:0000166	nucleotide binding
Be3_56	atp-binding cassette transporter	F	GO:0016787	hydrolase activity
Be3_59	pre-mrna-processing-splicing factor 8	C	GO:0005634	nucleus
Be3_59	pre-mrna-processing-splicing factor 8	F	GO:0003723	RNA binding
Be3_59	pre-mrna-processing-splicing factor 8	P	GO:0006139	nucleobase-containing compound metabolic process
Be3_60	u3 small nucleolar rna-associated protein 15	F	GO:0030234	enzyme regulator activity
Be3_60	u3 small nucleolar rna-associated protein 15	P	GO:0007165	signal transduction
Be3_60	u3 small nucleolar rna-associated protein 15	F	GO:0005515	protein binding
Be3_60	u3 small nucleolar rna-associated protein 15	F	GO:0003676	nucleic acid binding
Be3_60	u3 small nucleolar rna-associated protein 15	F	GO:0005488	binding
Be3_60	u3 small nucleolar rna-associated protein 15	C	GO:0005730	nucleolus
Be3_60	u3 small nucleolar rna-associated protein 15	P	GO:0006139	nucleobase-containing compound metabolic process
Be3_61	unnamed protein product, partial	C	GO:0005623	cell
Be3_61	unnamed protein product, partial	P	GO:0006810	transport
Be3_64	exocyst complex component 7	P	GO:0008152	metabolic process
Be3_64	exocyst complex component 7	F	GO:0016787	hydrolase activity
Be3_64	exocyst complex component 7	C	GO:0043234	protein complex
Be3_64	exocyst complex component 7	C	GO:0005737	cytoplasm
Be3_64	exocyst complex component 7	P	GO:0006810	transport
Be3_65	---NA---	F	GO:0004871	signal transducer activity
Be3_65	---NA---	P	GO:0007165	signal transduction
Be3_66	atp-dependent peptidase	F	GO:0016787	hydrolase activity
Be3_66	atp-dependent peptidase	F	GO:0008233	peptidase activity
Be3_66	atp-dependent peptidase	F	GO:0000166	nucleotide binding
Be3_66	atp-dependent peptidase	P	GO:0019538	protein metabolic process
Be3_66	atp-dependent peptidase	P	GO:0009056	catabolic process
Be3_66	atp-dependent peptidase	P	GO:0009058	biosynthetic process
Be3_66	atp-dependent peptidase	P	GO:0006464	cellular protein modification process
Be3_66	atp-dependent peptidase	P	GO:0006629	lipid metabolic process
Be3_66	atp-dependent peptidase	C	GO:0005783	endoplasmic reticulum
Be3_69	exocyst complex component 7-like isoform 4	C	GO:0043234	protein complex
Be3_69	exocyst complex component 7-like isoform 4	C	GO:0005737	cytoplasm
Be3_69	exocyst complex component 7-like isoform 4	P	GO:0006810	transport
Be3_69	exocyst complex component 7-like isoform 4	P	GO:0008152	metabolic process
Be3_69	exocyst complex component 7-like isoform 4	F	GO:0016787	hydrolase activity
Be3_70	protein kinase	F	GO:0000166	nucleotide binding
Be3_70	protein kinase	P	GO:0006464	cellular protein modification process
Be3_70	protein kinase	F	GO:0005515	protein binding
Be3_70	protein kinase	F	GO:0004672	protein kinase activity
Be3_70	protein kinase	N	GO:0006519	
Be3_72	acetyl- carboxylase	F	GO:0000166	nucleotide binding
Be3_72	acetyl- carboxylase	F	GO:0005488	binding
Be3_72	acetyl- carboxylase	F	GO:0003824	catalytic activity
Be3_72	acetyl- carboxylase	P	GO:0009058	biosynthetic process
Be3_72	acetyl- carboxylase	P	GO:0006629	lipid metabolic process
Be3_72	acetyl- carboxylase	C	GO:0043234	protein complex
Be3_72	acetyl- carboxylase	C	GO:0005737	cytoplasm
Be3_73	thimet oligopeptidase	C	GO:0005623	cell
Be3_73	thimet oligopeptidase	F	GO:0008233	peptidase activity
Be3_73	thimet oligopeptidase	F	GO:0005488	binding
Be3_73	thimet oligopeptidase	P	GO:0008152	metabolic process
Be3_73	thimet oligopeptidase	P	GO:0007165	signal transduction
Be3_73	thimet oligopeptidase	P	GO:0019538	protein metabolic process
Be3_73	thimet oligopeptidase	P	GO:0009056	catabolic process
Be3_73	thimet oligopeptidase	F	GO:0004871	signal transducer activity
Be3_73	thimet oligopeptidase	F	GO:0005515	protein binding
Be3_74	protein kinase	F	GO:0000166	nucleotide binding
Be3_74	protein kinase	P	GO:0006464	cellular protein modification process
Be3_74	protein kinase	F	GO:0005515	protein binding
Be3_74	protein kinase	F	GO:0004672	protein kinase activity
Be3_74	protein kinase	N	GO:0006519	
Be3_75	pre-mrna-processing-splicing factor 8-like	F	GO:0005515	protein binding
Be3_75	pre-mrna-processing-splicing factor 8-like	C	GO:0005634	nucleus
Be3_76	fatty acid synthase subunit	F	GO:0003824	catalytic activity
Be3_76	fatty acid synthase subunit	F	GO:0016740	transferase activity
Be3_76	fatty acid synthase subunit	C	GO:0043234	protein complex
Be3_76	fatty acid synthase subunit	C	GO:0005737	cytoplasm
Be3_76	fatty acid synthase subunit	P	GO:0009058	biosynthetic process
Be3_76	fatty acid synthase subunit	P	GO:0006629	lipid metabolic process
Be3_76	fatty acid synthase subunit	P	GO:0008152	metabolic process
Be3_76	fatty acid synthase subunit	F	GO:0005488	binding
Be3_76	fatty acid synthase subunit	N	GO:0006519	
Be3_79	---NA---	F	GO:0005515	protein binding
Be3_84	protein kinase subdomain-containing protein	F	GO:0016301	kinase activity
Be3_84	protein kinase subdomain-containing protein	P	GO:0008152	metabolic process
Be3_84	protein kinase subdomain-containing protein	F	GO:0005488	binding
Be3_84	protein kinase subdomain-containing protein	F	GO:0003824	catalytic activity
Be3_84	protein kinase subdomain-containing protein	F	GO:0000166	nucleotide binding
Be3_84	protein kinase subdomain-containing protein	P	GO:0009058	biosynthetic process
Be3_84	protein kinase subdomain-containing protein	P	GO:0006139	nucleobase-containing compound metabolic process
Be3_84	protein kinase subdomain-containing protein	F	GO:0016740	transferase activity
Be3_84	protein kinase subdomain-containing protein	C	GO:0043234	protein complex
Be3_84	protein kinase subdomain-containing protein	C	GO:0005737	cytoplasm
Be3_84	protein kinase subdomain-containing protein	N	GO:0006519	
Be3_84	protein kinase subdomain-containing protein	C	GO:0005623	cell
Be3_84	protein kinase subdomain-containing protein	P	GO:0009056	catabolic process
Be3_85	initiator trna phosphoribosyl transferase	P	GO:0008152	metabolic process
Be3_85	initiator trna phosphoribosyl transferase	F	GO:0016787	hydrolase activity
Be3_85	initiator trna phosphoribosyl transferase	F	GO:0003824	catalytic activity
Be3_85	initiator trna phosphoribosyl transferase	F	GO:0005515	protein binding
Be3_87	vacuolar isoform b	C	GO:0005622	intracellular
Be3_87	vacuolar isoform b	P	GO:0008150	biological_process
Be3_87	vacuolar isoform b	F	GO:0030234	enzyme regulator activity
Be3_87	vacuolar isoform b	P	GO:0007165	signal transduction
Be3_88	---NA---	F	GO:0005515	protein binding
Be3_88	---NA---	F	GO:0005488	binding
Be3_90	udp-glycosyltransferase glycogen phosphorylase	F	GO:0016740	transferase activity
Be3_90	udp-glycosyltransferase glycogen phosphorylase	F	GO:0005515	protein binding
Be3_90	udp-glycosyltransferase glycogen phosphorylase	F	GO:0008289	lipid binding
Be3_90	udp-glycosyltransferase glycogen phosphorylase	P	GO:0006629	lipid metabolic process
Be3_91	major karyopherin crm1p	F	GO:0000166	nucleotide binding
Be3_91	major karyopherin crm1p	P	GO:0006810	transport
Be3_91	major karyopherin crm1p	C	GO:0043234	protein complex
Be3_91	major karyopherin crm1p	C	GO:0005635	nuclear envelope
Be3_91	major karyopherin crm1p	P	GO:0015031	protein transport
Be3_91	major karyopherin crm1p	F	GO:0005215	transporter activity
Be3_91	major karyopherin crm1p	F	GO:0016787	hydrolase activity
Be3_92	initiator trna phosphoribosyl transferase	P	GO:0008152	metabolic process
Be3_92	initiator trna phosphoribosyl transferase	F	GO:0016787	hydrolase activity
Be3_92	initiator trna phosphoribosyl transferase	F	GO:0003824	catalytic activity
Be3_92	initiator trna phosphoribosyl transferase	F	GO:0005515	protein binding
Be3_93	heat shock protein 60	P	GO:0019538	protein metabolic process
Be3_93	heat shock protein 60	C	GO:0005737	cytoplasm
Be3_93	heat shock protein 60	F	GO:0005515	protein binding
Be3_93	heat shock protein 60	F	GO:0000166	nucleotide binding
Be3_94	atp-binding cassette transporter	F	GO:0000166	nucleotide binding
Be3_94	atp-binding cassette transporter	F	GO:0016787	hydrolase activity
Be3_95	multidrug resistance	F	GO:0000166	nucleotide binding
Be3_95	multidrug resistance	C	GO:0005623	cell
Be3_95	multidrug resistance	P	GO:0006810	transport
Be3_95	multidrug resistance	F	GO:0016787	hydrolase activity
Be3_97	---NA---	P	GO:0007165	signal transduction
Be3_97	---NA---	C	GO:0005623	cell
Be3_100	hypothetical protein BATDEDRAFT_28279	P	GO:0019538	protein metabolic process
Be3_100	hypothetical protein BATDEDRAFT_28279	C	GO:0005737	cytoplasm
Be3_100	hypothetical protein BATDEDRAFT_28279	F	GO:0000166	nucleotide binding
Be3_102	dead deah box	F	GO:0003676	nucleic acid binding
Be3_102	dead deah box	F	GO:0000166	nucleotide binding
Be3_102	dead deah box	F	GO:0016787	hydrolase activity
Be3_104	hypothetical protein BATDEDRAFT_28279	P	GO:0019538	protein metabolic process
Be3_104	hypothetical protein BATDEDRAFT_28279	C	GO:0005737	cytoplasm
Be3_104	hypothetical protein BATDEDRAFT_28279	F	GO:0000166	nucleotide binding
Be3_105	kinase-like partial	F	GO:0005515	protein binding
Be3_105	kinase-like partial	F	GO:0000166	nucleotide binding
Be3_105	kinase-like partial	P	GO:0006464	cellular protein modification process
Be3_105	kinase-like partial	F	GO:0004672	protein kinase activity
Be3_105	kinase-like partial	N	GO:0006519	
Be3_106	udp-glycosyltransferase glycogen phosphorylase	F	GO:0016740	transferase activity
Be3_106	udp-glycosyltransferase glycogen phosphorylase	F	GO:0005515	protein binding
Be3_106	udp-glycosyltransferase glycogen phosphorylase	F	GO:0008289	lipid binding
Be3_106	udp-glycosyltransferase glycogen phosphorylase	P	GO:0006629	lipid metabolic process
Be3_107	cytoplasmic methionine-trna ligase mrs1	P	GO:0006412	translation
Be3_107	cytoplasmic methionine-trna ligase mrs1	P	GO:0006139	nucleobase-containing compound metabolic process
Be3_107	cytoplasmic methionine-trna ligase mrs1	N	GO:0006519	
Be3_107	cytoplasmic methionine-trna ligase mrs1	C	GO:0005829	cytosol
Be3_107	cytoplasmic methionine-trna ligase mrs1	F	GO:0000166	nucleotide binding
Be3_107	cytoplasmic methionine-trna ligase mrs1	F	GO:0003824	catalytic activity
Be3_108	hypothetical protein BATDEDRAFT_21115	F	GO:0000166	nucleotide binding
Be3_108	hypothetical protein BATDEDRAFT_21115	C	GO:0005623	cell
Be3_108	hypothetical protein BATDEDRAFT_21115	P	GO:0006810	transport
Be3_108	hypothetical protein BATDEDRAFT_21115	F	GO:0003779	actin binding
Be3_108	hypothetical protein BATDEDRAFT_21115	F	GO:0005509	calcium ion binding
Be3_108	hypothetical protein BATDEDRAFT_21115	F	GO:0016787	hydrolase activity
Be3_110	transcription initiation factor subunit taf1	F	GO:0005515	protein binding
Be3_113	glutamate decarboxylase	F	GO:0005515	protein binding
Be3_113	glutamate decarboxylase	F	GO:0003824	catalytic activity
Be3_113	glutamate decarboxylase	P	GO:0008152	metabolic process
Be3_113	glutamate decarboxylase	F	GO:0005488	binding
Be3_114	actin-related protein 2	F	GO:0003824	catalytic activity
Be3_114	actin-related protein 2	P	GO:0005975	carbohydrate metabolic process
Be3_114	actin-related protein 2	F	GO:0000166	nucleotide binding
Be3_114	actin-related protein 2	C	GO:0005856	cytoskeleton
Be3_114	actin-related protein 2	C	GO:0043234	protein complex
Be3_114	actin-related protein 2	P	GO:0007010	cytoskeleton organization
Be3_115	---NA---	F	GO:0005515	protein binding
Be3_115	---NA---	F	GO:0005488	binding
Be3_116	4-hydroxybenzoate polyprenyl transferase	F	GO:0016740	transferase activity
Be3_116	4-hydroxybenzoate polyprenyl transferase	C	GO:0005623	cell
Be3_117	regulator of v-atpase in vacuolar membrane protein	F	GO:0005515	protein binding
Be3_118	---NA---	F	GO:0004871	signal transducer activity
Be3_118	---NA---	P	GO:0007165	signal transduction
Be3_119	saicar synthase-like protein	F	GO:0005515	protein binding
Be3_119	saicar synthase-like protein	F	GO:0016301	kinase activity
Be3_119	saicar synthase-like protein	P	GO:0006629	lipid metabolic process
Be3_119	saicar synthase-like protein	C	GO:0005634	nucleus
Be3_119	saicar synthase-like protein	F	GO:0016740	transferase activity
Be3_119	saicar synthase-like protein	P	GO:0006464	cellular protein modification process
Be3_119	saicar synthase-like protein	P	GO:0009056	catabolic process
Be3_119	saicar synthase-like protein	N	GO:0006519	
Be3_120	amp-dependent synthetase and ligase	F	GO:0003824	catalytic activity
Be3_120	amp-dependent synthetase and ligase	P	GO:0008152	metabolic process
